IP地址,端口,TLS,数据中心,下载速度(MB/s)
104.27.109.202,443,TRUE,N/A,0
172.65.80.108,443,TRUE,N/A,0
172.65.185.154,443,TRUE,N/A,0
104.21.230.41,443,TRUE,N/A,0
104.24.82.84,443,TRUE,N/A,0
104.27.114.34,443,TRUE,N/A,0
172.66.138.81,443,TRUE,N/A,0
104.21.223.191,443,TRUE,N/A,0
104.27.62.18,443,TRUE,N/A,0
104.25.216.66,443,TRUE,N/A,0
104.21.222.166,443,TRUE,N/A,0
172.64.96.14,443,TRUE,N/A,0
172.65.109.191,443,TRUE,N/A,0
162.159.32.247,443,TRUE,N/A,0
172.67.66.98,443,TRUE,N/A,0
172.65.187.25,443,TRUE,N/A,0
104.25.195.187,443,TRUE,N/A,0
172.65.34.245,443,TRUE,N/A,0
172.65.77.1,443,TRUE,N/A,0
172.66.195.124,443,TRUE,N/A,0
162.159.58.60,443,TRUE,N/A,0
104.24.41.35,443,TRUE,N/A,0
104.25.214.147,443,TRUE,N/A,0
172.67.134.16,443,TRUE,N/A,0
104.21.198.248,443,TRUE,N/A,0
104.27.85.110,443,TRUE,N/A,0
172.67.68.170,443,TRUE,N/A,0
104.25.176.17,443,TRUE,N/A,0
104.27.93.176,443,TRUE,N/A,0
172.65.158.151,443,TRUE,N/A,0
104.21.70.125,443,TRUE,N/A,0
104.27.43.22,443,TRUE,N/A,0
104.27.97.124,443,TRUE,N/A,0
104.21.199.132,443,TRUE,N/A,0
104.24.60.141,443,TRUE,N/A,0
104.25.193.107,443,TRUE,N/A,0
104.21.35.105,443,TRUE,N/A,0
172.67.84.67,443,TRUE,N/A,0
172.67.227.178,443,TRUE,N/A,0
172.67.226.226,443,TRUE,N/A,0
104.27.60.187,443,TRUE,N/A,0
104.24.27.224,443,TRUE,N/A,0
172.65.247.39,443,TRUE,N/A,0
104.27.13.66,443,TRUE,N/A,0
172.65.150.133,443,TRUE,N/A,0
172.67.130.2,443,TRUE,N/A,0
172.67.203.21,443,TRUE,N/A,0
172.67.157.120,443,TRUE,N/A,0
104.25.202.125,443,TRUE,N/A,0
104.25.172.66,443,TRUE,N/A,0
104.24.72.241,443,TRUE,N/A,0
104.27.56.162,443,TRUE,N/A,0
198.41.219.46,443,TRUE,N/A,0
104.27.61.238,443,TRUE,N/A,0
172.65.6.109,443,TRUE,N/A,0
104.27.193.136,443,TRUE,N/A,0
162.159.33.152,443,TRUE,N/A,0
104.24.49.216,443,TRUE,N/A,0
104.24.58.185,443,TRUE,N/A,0
104.24.133.112,443,TRUE,N/A,0
172.67.250.114,443,TRUE,N/A,0
172.65.13.184,443,TRUE,N/A,0
172.65.113.151,443,TRUE,N/A,0
104.25.197.33,443,TRUE,N/A,0
172.64.95.248,443,TRUE,N/A,0
104.27.64.206,443,TRUE,N/A,0
104.27.81.171,443,TRUE,N/A,0
172.67.198.135,443,TRUE,N/A,0
172.67.215.124,443,TRUE,N/A,0
104.27.92.241,443,TRUE,N/A,0
172.65.94.12,443,TRUE,N/A,0
104.24.48.5,443,TRUE,N/A,0
104.27.20.49,443,TRUE,N/A,0
104.21.42.72,443,TRUE,N/A,0
104.27.80.162,443,TRUE,N/A,0
172.65.37.11,443,TRUE,N/A,0
104.21.118.227,443,TRUE,N/A,0
162.159.21.45,443,TRUE,N/A,0
104.25.173.202,443,TRUE,N/A,0
172.65.91.104,443,TRUE,N/A,0
172.64.232.212,443,TRUE,N/A,0
162.159.153.145,443,TRUE,N/A,0
172.64.82.100,443,TRUE,N/A,0
104.21.72.226,443,TRUE,N/A,0
172.65.121.204,443,TRUE,N/A,0
162.159.90.163,443,TRUE,N/A,0
172.65.229.79,443,TRUE,N/A,0
172.67.144.250,443,TRUE,N/A,0
104.27.119.167,443,TRUE,N/A,0
104.27.90.122,443,TRUE,N/A,0
104.25.174.126,443,TRUE,N/A,0
104.27.67.207,443,TRUE,N/A,0
172.65.30.93,443,TRUE,N/A,0
172.64.42.5,443,TRUE,N/A,0
162.159.61.206,443,TRUE,N/A,0
104.24.146.158,443,TRUE,N/A,0
172.67.219.87,443,TRUE,N/A,0
162.159.27.64,443,TRUE,N/A,0
172.65.102.37,443,TRUE,N/A,0
162.159.48.70,443,TRUE,N/A,0
104.27.4.247,443,TRUE,N/A,0
172.65.170.87,443,TRUE,N/A,0
104.25.181.83,443,TRUE,N/A,0
104.27.36.253,443,TRUE,N/A,0
104.24.148.74,443,TRUE,N/A,0
172.67.204.16,443,TRUE,N/A,0
172.65.75.165,443,TRUE,N/A,0
172.67.116.115,443,TRUE,N/A,0
172.67.223.9,443,TRUE,N/A,0
162.159.152.234,443,TRUE,N/A,0
172.65.17.227,443,TRUE,N/A,0
104.27.24.42,443,TRUE,N/A,0
172.65.123.195,443,TRUE,N/A,0
172.65.78.243,443,TRUE,N/A,0
104.27.103.117,443,TRUE,N/A,0
172.65.178.246,443,TRUE,N/A,0
104.21.110.102,443,TRUE,N/A,0
